id,x,y,r,b
0,391.7483660130719,83.83006535947712,10,65.34313725490196
1,1102.9529737206085,117.41908713692946,20,120.21853388658369
2,777.6963855421686,157.03132530120482,11,70.09397590361446
3,274.5,160.99346405228758,10,63.00980392156863
4,655.8592592592593,263.46666666666664,16,60.51851851851852
5,962.843537414966,299.65986394557825,12,69.54421768707483
6,911.6019900497513,420.80845771144277,11,65.27860696517413
7,1502.7597597597598,443.03903903903904,10,80.66666666666667
8,528.8381502890173,464.28612716763007,11,62.45086705202312
9,990.4057971014493,560.3985507246376,11,71.06521739130434
10,585.7085953878407,608.5765199161425,15,62.49895178197065
11,1043.509,677.787,19,66.917
12,1218.9752808988765,766.6337078651685,11,66.87640449438203
13,1152.2601156069363,896.0491329479769,13,59.40751445086705
14,477.9037800687285,924.1288659793814,13,62.21993127147766
15,526.1959798994975,1004.4405360134003,13,66.89614740368509
16,1545.6877192982456,1015.7614035087719,13,63.257894736842104
17,1794.969512195122,1034.9329268292684,10,63.176829268292686
18,368.6346863468635,1057.0073800738007,10,57.81549815498155
19,1893.6971098265897,1137.6450867052024,24,63.96473988439307
20,882.8782201405152,1145.049180327869,11,62.73770491803279
21,1456.2222222222222,1183.0904392764858,11,60.96124031007752
